OBJECTID,top_height_m,base_height_m,storeys,building_height_m
45961,51.3,43.5,2.0,7.799999999999997
45962,51.9,44.2,2.0,7.699999999999996
45963,51.9,44.2,2.0,7.699999999999996
45964,51.9,44.1,2.0,7.799999999999997
45965,46.1,38.5,2.0,7.600000000000001
45966,47.7,39.9,2.0,7.800000000000004
45967,48.9,41.0,2.0,7.899999999999999
45968,49.9,42.0,2.0,7.899999999999999
45969,48.9,41.0,2.0,7.899999999999999
45970,46.8,38.9,2.0,7.899999999999999
46487,42.8,34.8,2.0,8.0
46488,43.5,35.6,2.0,7.899999999999999
46489,44.4,36.5,2.0,7.899999999999999
46490,52.6,44.6,2.0,8.0
46491,45.3,37.3,2.0,8.0
46492,46.3,38.4,2.0,7.899999999999999
46493,47.1,39.1,2.0,8.0
46494,45.4,37.4,2.0,8.0
46495,45.9,38.0,2.0,7.899999999999999
46496,46.8,38.9,2.0,7.899999999999999
46497,47.6,39.7,2.0,7.899999999999999
46498,48.3,40.3,2.0,8.0
46499,48.3,40.3,2.0,8.0
46500,51.7,43.7,2.0,8.0
46501,46.8,38.8,2.0,8.0
46502,47.7,39.7,2.0,8.0
46503,48.3,40.3,2.0,8.0
46504,56.2,48.2,2.0,8.0
46505,56.2,48.2,2.0,8.0
46506,55.9,47.9,2.0,8.0
46507,55.5,47.6,2.0,7.899999999999999
46508,55.7,47.8,2.0,7.900000000000006
46509,56.2,48.2,2.0,8.0
46510,51.6,43.5,2.0,8.100000000000001
46511,55.8,47.8,2.0,8.0
46512,55.4,47.4,2.0,8.0
46513,54.5,46.5,2.0,8.0
46514,53.5,45.5,2.0,8.0
46562,40.3,36.4,,3.8999999999999986
47126,27.4,20.0,2.0,7.399999999999999
47127,26.4,19.0,2.0,7.399999999999999
48894,43.8,31.9,3.0,11.899999999999999
48895,47.3,35.5,3.0,11.799999999999997
48896,46.2,34.8,3.0,11.400000000000006
48897,49.7,37.9,,11.800000000000004
48898,40.2,28.3,3.0,11.900000000000002
48899,45.6,31.7,,13.900000000000002
48900,43.9,31.9,3.0,12.0
48901,45.1,32.7,3.0,12.399999999999999
49462,16.6,10.4,3.0,6.200000000000001
50259,32.2,24.1,2.0,8.100000000000001
50421,32.2,24.1,2.0,8.100000000000001
50727,26.4,18.6,2.0,7.799999999999997
33826,70.9,62.4,2.0,8.500000000000007
33907,38.9,31.4,2.0,7.5
42916,46.8,39.6,3.0,7.199999999999996
46515,46.8,38.8,2.0,8.0
29264,31.5,6.0,4.0,25.5
29268,31.5,6.0,4.0,25.5
29456,31.5,6.0,4.0,25.5
29483,13.7,6.1,4.0,7.6
29524,130.8,30.1,33.0,100.70000000000002
29540,136.7,30.1,36.0,106.6
29560,142.5,24.2,39.0,118.3
29582,148.3,24.2,41.0,124.10000000000001
29602,151.3,24.2,42.0,127.10000000000001
29616,,,,
32032,23.1,6.3,3.0,16.8
32105,20.1,5.1,,15.000000000000002
32191,36.3,9.2,6.0,27.099999999999998
32222,13.7,6.3,2.0,7.3999999999999995
32609,26.0,6.4,4.0,19.6
33949,19.3,7.4,3.0,11.9
36150,10.2,6.4,1.0,3.799999999999999
36151,10.2,6.4,1.0,3.799999999999999
36152,13.1,6.5,1.0,6.6
37705,51.0,5.5,,45.5
37706,75.2,22.3,9.0,52.900000000000006
37730,168.7,5.8,51.0,162.89999999999998
